Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
85,NRP,V14,2,L,6,2,0N,0.649,0.972,0.0393,0.0673,0.055,0.0984,0.2386,0.2948,0.3077,0.2192,0.1374,0.3168
86,NRP,V14,2,L,6,3,0N,0.61,1.035,0.0324,0.0601,0.0406,0.0845,0.2556,0.3309,0.3441,0.1986,0.1107,0.3527
87,NRP,V14,2,L,6,3,240N,1.323,0.944,0.0247,0.043,0.0282,0.0611,0.2429,0.3591,0.3753,0.174,0.0892,0.381
88,NRP,V14,2,L,6,3,60N,0.926,0.995,0.0274,0.0485,0.032,0.0677,0.2473,0.3493,0.3648,0.1808,0.0953,0.3718
89,NRP,V14,2,L,6,3,120N,1.35,0.883,0.03,0.0497,0.0362,0.0714,0.24,0.3293,0.344,0.19,0.1053,0.3506
90,NRP,V14,2,L,6,3,180N,1.081,1.157,0.0254,0.0446,0.0294,0.063,0.2428,0.3533,0.3679,0.1741,0.0903,0.3772
91,NRP,V14,2,M,7,1,180N,1.224,1.034,0.024,0.0419,0.0254,0.059,0.2451,0.3613,0.3755,0.1659,0.0832,0.3836
92,NRP,V14,2,M,7,1,240N,1.006,0.97,0.0259,0.045,0.0298,0.0633,0.2404,0.3436,0.3571,0.1757,0.0926,0.3659
93,NRP,V14,2,M,7,1,0N,1.025,0.949,0.0307,0.0578,0.0368,0.081,0.2628,0.3414,0.3548,0.1931,0.1064,0.363
94,NRP,V14,2,M,7,1,120N,1.128,0.923,0.0265,0.0464,0.0302,0.067,0.2453,0.3455,0.3602,0.1804,0.097,0.3661
95,NRP,V14,2,M,7,1,60N,0.888,0.917,0.0259,0.0477,0.0303,0.0671,0.2524,0.3553,0.3699,0.1797,0.0946,0.3757
96,NRP,V14,2,M,7,2,240N,1.241,1.038,0.0229,0.0426,0.0257,0.0589,0.2444,0.3622,0.378,0.1654,0.0814,0.3848
97,NRP,V14,2,M,7,2,120N,1.146,0.997,0.0276,0.0477,0.0311,0.0664,0.2426,0.3421,0.3545,0.1782,0.0951,0.3625
98,NRP,V14,2,M,7,2,180N,1.36,1.021,0.0223,0.0405,0.0233,0.0562,0.2514,0.3769,0.3923,0.1599,0.0771,0.3987
99,NRP,V14,2,M,7,2,60N,0.96,0.971,0.0247,0.0456,0.0275,0.0627,0.2505,0.3596,0.371,0.1693,0.0868,0.3801
100,NRP,V14,2,M,7,2,0N,0.623,0.943,0.0287,0.056,0.0344,0.0792,0.2683,0.3554,0.3685,0.1868,0.0996,0.3762
101,NRP,V14,2,M,7,3,0N,0.698,0.919,0.0298,0.0568,0.0363,0.08,0.2623,0.3466,0.3578,0.1851,0.0997,0.3657
102,NRP,V14,2,M,7,3,240N,1.147,1.014,0.0249,0.0439,0.0282,0.0617,0.2443,0.3562,0.3696,0.1705,0.088,0.3785
103,NRP,V14,2,M,7,3,60N,0.997,0.927,0.0277,0.0491,0.032,0.0685,0.2495,0.3484,0.361,0.1777,0.0937,0.3699
104,NRP,V14,2,M,7,3,120N,1.042,1.106,0.0244,0.0449,0.0279,0.0632,0.2508,0.3629,0.3771,0.1705,0.0874,0.3845
105,NRP,V14,2,M,7,3,180N,1.3,0.942,0.0261,0.0461,0.0305,0.0651,0.2472,0.3556,0.3691,0.1791,0.0936,0.3777
106,SEB,V14,3,H,8,1,60N,1.049,0.843,0.0167,0.0341,0.0218,0.0496,0.2084,0.2875,0.2933,0.1449,0.0779,0.304
107,SEB,V14,3,H,8,1,180N,1.044,0.806,0.0162,0.0321,0.0229,0.0486,0.1924,0.2665,0.274,0.148,0.082,0.2855
108,SEB,V14,3,H,8,1,240N,1.07,0.836,0.0149,0.0323,0.0215,0.0471,0.1992,0.2821,0.2866,0.1497,0.0789,0.3015
109,SEB,V14,3,H,8,1,120N,0.896,0.917,0.014,0.0308,0.018,0.0453,0.2109,0.2978,0.3039,0.1413,0.0728,0.3152
110,SEB,V14,3,H,8,1,0N,0.846,0.881,0.0155,0.034,0.0189,0.0481,0.2102,0.2904,0.2927,0.1454,0.0775,0.3039
111,SEB,V14,3,H,8,2,0N,0.796,0.859,0.0161,0.0349,0.0217,0.0522,0.2162,0.2882,0.2958,0.14,0.0729,0.3089
112,SEB,V14,3,H,8,2,240N,0.932,0.821,0.0134,0.0296,0.0176,0.0418,0.2005,0.2924,0.2994,0.133,0.0684,0.3086
113,SEB,V14,3,H,8,2,120N,1.171,0.997,0.0139,0.0308,0.0183,0.0443,0.2064,0.2922,0.3,0.142,0.075,0.3085
114,SEB,V14,3,H,8,2,180N,1.151,0.931,0.0157,0.0311,0.0199,0.0441,0.2009,0.2883,0.2935,0.1432,0.0756,0.3045
115,SEB,V14,3,H,8,2,60N,0.996,0.91,0.0145,0.0317,0.018,0.0438,0.2079,0.2911,0.2998,0.1419,0.0749,0.3133
116,SEB,V14,3,H,8,3,180N,1.046,0.84,0.0131,0.0308,0.0181,0.0441,0.2072,0.2986,0.3028,0.1404,0.0729,0.3133
117,SEB,V14,3,H,8,3,120N,1.11,0.896,0.0152,0.031,0.0201,0.0448,0.1953,0.276,0.2809,0.1418,0.0759,0.2971
118,SEB,V14,3,H,8,3,60N,0.87,0.816,0.0141,0.0309,0.0193,0.0439,0.2024,0.2835,0.2859,0.1398,0.0731,0.3023
119,SEB,V14,3,H,8,3,0N,0.737,0.891,0.0138,0.0322,0.0175,0.0451,0.2136,0.2966,0.3002,0.1391,0.0715,0.3137
120,SEB,V14,3,H,8,3,240N,1.205,0.93,0.0132,0.0289,0.0167,0.0407,0.2089,0.3029,0.305,0.1388,0.0701,0.319
121,SEB,V14,3,L,9,1,60N,0.854,0.875,0.0174,0.0348,0.0236,0.0499,0.1951,0.261,0.2668,0.1581,0.0889,0.2792
122,SEB,V14,3,L,9,1,180N,1.062,0.901,0.0163,0.0324,0.022,0.0459,0.1946,0.2678,0.2745,0.1576,0.0878,0.2867
123,SEB,V14,3,L,9,1,240N,0.994,0.869,0.0147,0.0312,0.0213,0.0456,0.1921,0.2651,0.2703,0.1555,0.0877,0.2842
124,SEB,V14,3,L,9,1,120N,0.836,0.855,0.0185,0.0359,0.0265,0.053,0.1907,0.2576,0.2682,0.1691,0.102,0.279
125,SEB,V14,3,L,9,1,0N,0.758,0.907,0.0167,0.0356,0.0236,0.0517,0.2027,0.2742,0.2796,0.1664,0.0977,0.2888
126,SEB,V14,3,L,9,2,0N,0.753,0.839,0.0174,0.0359,0.0255,0.0526,0.1944,0.2586,0.2664,0.1628,0.0944,0.2786
127,SEB,V14,3,L,9,2,240N,1.279,0.97,0.0159,0.0323,0.0216,0.0477,0.195,0.2716,0.2756,0.1608,0.089,0.2893
128,SEB,V14,3,L,9,2,120N,0.706,0.799,0.0161,0.0322,0.0218,0.0466,0.1915,0.2614,0.2692,0.1587,0.0908,0.2816
129,SEB,V14,3,L,9,2,180N,1.042,0.868,0.0162,0.0333,0.0218,0.0483,0.1998,0.2771,0.2849,0.1597,0.0894,0.2961
130,SEB,V14,3,L,9,2,60N,0.667,0.776,0.0168,0.0351,0.0237,0.0507,0.1995,0.2705,0.2752,0.1586,0.0915,0.2885
131,SEB,V14,3,L,9,3,180N,0.927,0.832,0.0174,0.0343,0.0244,0.0499,0.1953,0.2683,0.2772,0.1657,0.0955,0.2914
132,SEB,V14,3,L,9,3,120N,0.896,0.891,0.0168,0.0329,0.0226,0.0483,0.1943,0.2658,0.2738,0.1574,0.0899,0.2839
133,SEB,V14,3,L,9,3,60N,0.777,0.833,0.0174,0.0345,0.0243,0.0515,0.1922,0.2607,0.2675,0.16,0.0925,0.2817
134,SEB,V14,3,L,9,3,0N,0.628,0.795,0.0174,0.0373,0.0252,0.0549,0.2015,0.2657,0.2721,0.1692,0.0977,0.2846
135,SEB,V14,3,L,9,3,240N,0.862,0.871,0.0188,0.0345,0.0246,0.05,0.1934,0.2661,0.2701,0.1669,0.0974,0.2859
136,SEB,V14,4,H,10,1,0N,0.661,0.755,0.0217,0.0387,0.0204,0.0538,0.2621,0.3903,0.4079,0.1487,0.0655,0.415
137,SEB,V14,4,H,10,1,180N,1.008,0.984,0.0185,0.0342,0.0179,0.0478,0.2557,0.4053,0.4228,0.1443,0.0612,0.4314
138,SEB,V14,4,H,10,1,240N,1.087,0.768,0.0197,0.036,0.019,0.0493,0.2582,0.4071,0.4259,0.1472,0.0648,0.4302
139,SEB,V14,4,H,10,1,120N,0.938,0.89,0.0182,0.0343,0.0181,0.0481,0.255,0.4053,0.4228,0.1429,0.0611,0.4274
140,SEB,V14,4,H,10,1,60N,0.84,0.842,0.0191,0.0364,0.0185,0.0505,0.2575,0.3998,0.4151,0.1435,0.0628,0.4211
141,SEB,V14,4,H,10,2,60N,0.841,0.794,0.0188,0.0354,0.0193,0.0495,0.2546,0.3996,0.4138,0.1437,0.0627,0.4214
142,SEB,V14,4,H,10,2,240N,1.065,0.831,0.0179,0.0342,0.0173,0.0475,0.2524,0.4054,0.4177,0.1438,0.06,0.4287
143,SEB,V14,4,H,10,2,120N,1.073,0.662,0.0191,0.0355,0.0192,0.0487,0.2519,0.3969,0.413,0.1461,0.064,0.4213
144,SEB,V14,4,H,10,2,180N,0.988,0.761,0.0177,0.0336,0.0168,0.048,0.2544,0.4084,0.428,0.1428,0.0607,0.4329
145,SEB,V14,4,H,10,2,0N,0.661,0.619,0.019,0.0368,0.0179,0.05,0.2593,0.3987,0.4153,0.144,0.0631,0.4201
146,SEB,V14,4,H,10,3,180N,0.864,0.942,0.0182,0.0341,0.0171,0.0473,0.2546,0.4058,0.4264,0.1414,0.0603,0.432
147,SEB,V14,4,H,10,3,120N,0.98,0.611,0.0183,0.0333,0.0166,0.0473,0.2556,0.4083,0.4242,0.1419,0.059,0.4337
148,SEB,V14,4,H,10,3,60N,0.888,0.731,0.0191,0.036,0.0185,0.0497,0.2543,0.3933,0.4086,0.1471,0.0642,0.4155
149,SEB,V14,4,H,10,3,0N,0.749,0.785,0.0202,0.0376,0.0203,0.0532,0.2555,0.3934,0.4058,0.1472,0.0648,0.4075
150,SEB,V14,4,H,10,3,240N,1.152,0.798,0.0178,0.0331,0.0162,0.0467,0.2572,0.4193,0.4377,0.1401,0.0572,0.4453
156,SEB,V14,4,L,11,4,180N,1.024,0.788,0.0201,0.0372,0.0197,0.0522,0.2606,0.4012,0.4163,0.1524,0.068,0.4247
157,SEB,V14,4,L,11,2,60N,0.744,0.785,0.0219,0.0406,0.0221,0.0574,0.2601,0.3828,0.4022,0.1592,0.0736,0.406
158,SEB,V14,4,L,11,2,240N,0.906,0.63,0.0227,0.0413,0.0229,0.0585,0.2607,0.3854,0.4075,0.1589,0.0736,0.4139
